id,name,host_id,host_name,zip_code,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
l_617373580483490688,Two Separate DT Asheville MNT Chalets-Zurich 9A&9B,h_447434330,Ed And Marwa,28805,East Asheville,35.59383,-82.537659,Entire home/apt,506,1,1,2022-09-18,0.03,3,167,0
l_617493282921278848,Blue Ridge Escape: Private Suite Near Downtown,h_10038002,Sean,28805,East Asheville,35.59524,-82.51083,Entire home/apt,87,1,59,2025-03-31,1.59,1,354,8
l_617915321080119808,Mountain Abode~10 Mins to Downtown AVL~Sleeps 6,h_118817917,Laura,28805,East Asheville,35.6233,-82.47701,Entire home/apt,93,1,51,2025-05-28,1.38,1,294,4
l_618110235047093888,"2 bdrm near Christ School, Sierra Nevada, Airport",h_419257959,Thomas,28732,Fletcher,35.44936,-82.4931,Entire home/apt,100,5,7,2024-12-18,0.21,1,364,1
l_618599044942137088,Walkable West Asheville,h_143395435,Leslie,28806,West Asheville,35.582985,-82.576965,Entire home/apt,111,90,0,,,1,260,0
l_618615434156747008,"Private 1-BD Suite w/Patio, Center of Asheville!",h_337044717,Joy,28806,West Asheville,35.57379,-82.58535,Entire home/apt,99,1,127,2024-10-11,3.35,1,125,17
l_618631910523278080,West Asheville Hideaway,h_21150231,Alisha,28715,Candler,35.56799,-82.6449,Entire home/apt,,2,91,2025-02-16,2.45,1,0,12
l_618717801158457600,Cheerful 1-bedroom Tiny Home in South Asheville!,h_457277374,Jennifer And Kennith,28704,South Asheville,35.45921,-82.4985,Entire home/apt,91,2,56,2025-04-07,1.51,1,314,6
l_619419707858005888,Carriage House Near Downtown & the Parkway,h_121681645,Evolve,28804,South Asheville,35.64784,-82.49695,Entire home/apt,,2,20,2024-09-02,0.53,31,0,1
l_619483022361673600,Beautifully Renovated Historic Bridle Path Inn,h_26759134,Benjamin,28804,South Asheville,35.62196,-82.564079,Entire home/apt,525,3,46,2025-05-26,1.29,2,303,10
l_620074697630345344,*NEW*The Rose Cottage|10 mins to DT and Biltmore,h_67969363,Jon And Emily,28803,Tuxedo Park,35.55409,-82.47652,Entire home/apt,193,2,145,2025-06-05,3.84,8,217,41
l_623020462208497920,8 Bedroom | Hot Tub | Asheville | Biltmore Lake,h_19756246,Aaron,28715,Candler,35.53831,-82.65517,Entire home/apt,951,2,94,2025-06-09,2.49,3,329,23
l_623153656813826560,Asheville Mountaintop Home with Unparalleled Views,h_96187307,Yonder,28804,South Asheville,35.6272499,-82.5355106,Entire home/apt,574,1,25,2024-06-09,0.74,50,289,0
l_623181407416441472,"Adorable guest suite with hot tub!
Walk to DT!",h_28246346,Clinton,28801,Downtown Asheville,35.58936,-82.55853,Entire home/apt,127,1,124,2024-06-28,3.3,2,167,3
l_624106208693408128,Casita West Asheville,h_65940659,Rebecca,28806,West Asheville,35.58049,-82.6178,Entire home/apt,,30,0,,,1,104,0
l_624853195725555456,West Asheville Bungalow - Close to Biltmore/LexAve,h_71348398,Hamid,28806,West Asheville,35.60213,-82.61211,Entire home/apt,133,1,60,2025-04-13,1.64,1,90,14
l_625358586777386112,Phenomenal  Downtown Property,h_167186184,Towns,28801,Downtown Asheville,35.5963887,-82.5514174,Entire home/apt,191,30,36,2025-05-17,0.96,108,319,1
l_626718578774555776,"Clean, Modern Studio Apartment with Sauna!",h_57546902,Ali,28806,West Asheville,35.5557,-82.63056,Entire home/apt,81,1,14,2023-08-27,0.37,2,154,0
l_628105532636221312,Private Views with Hot Tub and Fire Pit,h_459368276,Anne,28806,West Asheville,35.55459,-82.62037,Entire home/apt,186,2,84,2025-05-26,2.3,6,323,12
l_628106526015180672,Cheery W.Asheville-Hot Tub-Porch-Fenced Yard-Pets,h_121238693,Tommy And Jenny,28806,West Asheville,35.586411,-82.627892,Entire home/apt,119,1,200,2025-05-26,5.41,1,289,52
l_628325548200165504,"♦Country Feel ♦City Appeal
5 miles to Downtown",h_152349299,Tobie,28804,South Asheville,35.62371,-82.61215,Entire home/apt,158,2,71,2025-06-08,1.91,1,133,22
l_628461064690284928,Entertainment & Hosting Dream: Amenities 6k+ sq ft,h_26629986,Eliot,28806,West Asheville,35.61045,-82.63473,Entire home/apt,506,1,104,2025-06-08,2.8,3,345,25
l_628846920167906176,3 BR/ 2 BA Wooded Bliss - 10 min to Asheville,h_261849624,Anna,28715,Candler,35.55425,-82.65309,Entire home/apt,110,30,0,,,1,331,0
l_629657604334214912,River Arts District Hidden Gem II,h_61411239,Virginia,28806,West Asheville,35.583305,-82.573883,Entire home/apt,79,30,14,2025-01-02,0.39,5,228,5
l_629748043310941312,Westmont by Purely Asheville! ENTIRE HOME,h_92361168,Zahra,28806,West Asheville,35.62541,-82.62812,Entire home/apt,80,30,11,2024-06-23,0.3,2,106,2
l_630472961938618368,Private Guest Suite in the Blue Ridge Mountains,h_350727110,Angela Leigh,28704,South Asheville,35.48386,-82.58609,Private room,71,1,136,2025-05-26,3.75,1,137,23
